host,name
lhfw.orsoft.org,['旅行服务']
www.go2tw.cn,['旅行服务']
www.onwsw.com,['旅行服务']
www.cyzone.cn,['晚上去哪儿']
www.cr173.com,['晚上去哪儿']
www.860816.com,['到哪玩']
yndaily.yunnan.cn,['线上旅游']
www.chyxx.com,['线上旅游']
www.qyer.com,"['标间', '穷游网']"
shouji.zhuna.cn,['住哪网']
www.teckonhotel.com,['酒店集团']
www.umetrip.com,"['航旅纵横', '航旅纵横']"
www.mdpda.com,['乱炸']
ditu.city8.com,['北京站店']
www.lvyouquan.cn,['线路产品']
www.stourweb.com,['线路产品']
www.waldorfastoriahotels.com.cn,['华尔道夫']
www.waldorfastoriashanghai.com,['华尔道夫']
so.redocn.com,"['篓子', '枯树干']"
www.whghotels.cn,['温德姆']
www.szbiztour.com,['旅行公司']
www.uzai.com,"['旅行公司', '悠哉网']"
www.yoozai.com,['悠哉网']
colobu.com,['鸟窝']
www.51yund.com,['悦动圈']
d.51yund.com,['悦动圈']
www.traveldaily.cn,['在线旅行']
www.fulihua.net,['富丽华']
mini.itunes123.com,['射成']
www.ibis.cn,['宜必思']
tech.ifeng.com,['于敦德']
springtour.com,['春秋国旅']
www.homeplus.cn,"['红璞', '红璞']"
h.homeplus.cn,['红璞']
www.99114.com,['长竹竿']
www.jyinns.com,['银座佳驿']
www.starwoodhotels.com,['喜达屋']
www.biquke.com,['乱枪']
www.xbiqugexsw.com,['乱枪']
book.qidian.com,"['乱枪', '血葫芦']"
www.cct.cn,['康辉旅游']
wx.cct.cn,['康辉旅游']
www.eaka365.com,['驿家365']
www.kaiyuanhotels.com,['开元酒店']
www.china.cn,['经济连锁']
iask.sina.com.cn,"['怎么安排', '捅出']"
www.docin.com,['怎么安排']
www.lotour.com,['土匪窝']
www.chachaba.com,['找谁']
new.qq.com,"['蛰成', '咋']"
www.ifengwoo.com,['蜂窝']
www.careers.marriott.com.cn,['万豪国际']
www.yododo.com,['游多多']
www.extbrand.com,['酒店业务']
www.gelonghui.com,['酒店业务']
jiarizhixingjiudian.jiam.shgao.com,['假日之星']
www.ttrar.com,"['在哪儿', '看什么']"
kempinskihotelwuxi.vip.lechengol.com,['凯宾斯基']
